BOROUGH,TAX BLOCK,TAX LOT,BBL,BILLBBL,CD,HOUSE NUMBER,STREET NAME,ADDRESS,PARCEL NAME,AGENCY,USE CODE,USE TYPE,OWNERSHIP,CATEGORY,EXPANDED CATEGORY CODE,EXPANDED CATEGORY DESCRIPTION,LEASED PROPERTIES,FINAL COMMITMENT,AGREEMENT,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,GEOM
2,2788,1,2027880001,2027880001,204,,,,CLAREMONT PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1009856,245484,40.840435,-73.907458,POINT (-73.907458 40.840435)
1,1921,124,1019210124,1019210124,110,113,WEST  136 STREET,113 WEST  136 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1000569,236324,40.815316,-73.941044,POINT (-73.941044 40.815316)
3,4278,1,3042780001,3042780001,305,370,FOUNTAIN AVENUE,370 FOUNTAIN AVENUE,IS 218 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,1019053,183407,40.670018,-73.874541,POINT (-73.874541 40.670018)
3,388,34,3003880034,3003880034,302,108,3 AVENUE,108 3 AVENUE,ULANO CORP,HPD,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,989115,188175,40.683173,-73.982459,POINT (-73.982459 40.683173)
2,2740,27,2027400027,2027400027,202,831,HUNTS POINT AVENUE,831 HUNTS POINT AVENUE,HUNTS..POINT..AVENUE..REHAB,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1015001,237138,40.817511,-73.888902,POINT (-73.888902 40.817511)
5,6373,70,5063730070,5063730070,503,,FINGAL STREET,FINGAL STREET,BLUE HERON PARK (R119),PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,936387,134593,40.535973,-74.172192,POINT (-74.172192 40.535973)
1,1434,1,1014340001,1014340001,108,1130,2 AVENUE,1130 2 AVENUE,QUEENSBORO BRIDGE/MAN 81 AND 63SEC,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,994518,216319,40.760416,-73.962935,POINT (-73.962935 40.760416)
2,5848,1783,2058481783,2058481783,208,,FARADAY AVENUE,FARADAY AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1011401,268672,40.904075,-73.901781,POINT (-73.901781 40.904075)
3,6537,1,3065370001,3065370001,312,1405-63,MC DONALD AVENUE,1405-63 MC DONALD AVENUE,ERASMUS HALL H.S ATHLETIC FACI,EDUC,432,PLAYING FIELD,C,1,3,CULTURAL & RECREATIONAL USE,,,,991438,164438,40.618018,-73.974109,POINT (-73.974109 40.618018)
4,16350,366,4163500366,4163500366,414,,ROCKAWAY POINT BOULEVARD,ROCKAWAY POINT BOULEVARD,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1007734,143606,40.56081,-73.915483,POINT (-73.915483 40.56081)
2,3211,5,2032110005,2032110005,205,2150,UNIVERSITY AVENUE,2150 UNIVERSITY AVENUE,FRANCIS MARTIN REG LIBRARY,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,1009346,251681,40.857446,-73.909278,POINT (-73.909278 40.857446)
1,1754,26,1017540026,1017540026,111,51-55,EAST  129 STREET,51-55 EAST  129 STREET,,HPD,1420,NO USE-RESIDENTIAL STRUCTURE,C,2,8,PROPERTY WITH NO USE,,D,,1001418,233727,40.808186,-73.937984,POINT (-73.937984 40.808186)
1,119,1,1001190001,1001190001,101,1,POLICE PLAZA,1 POLICE PLAZA,NYPD HEADQUARTERS/POLICE PLAZA,NYPD,110,AGENCY EXECUTIVE OFFICE,C,1,1,OFFICE USE,,,,983752,198754,40.712211,-74.001796,POINT (-74.001796 40.712211)
3,4444,1,3044440001,3044440001,305,,FLATLANDS AVENUE,FLATLANDS AVENUE,HPD UR SITE/SPRING CREEK PARK,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,1018087,178077,40.655393,-73.87805,POINT (-73.87805 40.655393)
2,2726,64,2027260064,2027260064,202,1045,SIMPSON STREET,1045 SIMPSON STREET,SUBSTATION #18 WCHSTR/SPSN,NYCTA,860,TRANSIT FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1013797,239672,40.824471,-73.893241,POINT (-73.893241 40.824471)
2,2420,9020,2024209020,2024200020,204,03073,PARK AVENUE,03073 PARK AVENUE,MORRISANIA AIR RIGHTS,NYCHA,479,OTHER OPEN SPACE,O,1,3,CULTURAL & RECREATIONAL USE,,,,1006621,239185,40.823155,-73.919171,POINT (-73.919171 40.823155)
4,13925,246,4139250246,4139250246,410,,157 DRIVE,157 DRIVE,SPRING CREEK PARK ADDITION,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1023082,179048,40.658037,-73.860042,POINT (-73.860042 40.658037)
5,4441,150,5044410150,5044410150,503,,CEDARVIEW AVENUE,CEDARVIEW AVENUE,LA TOURETTE PARK AND GOLF COURSE,CULT,390,OTHER CULTURAL FACILITY,C,1,3,CULTURAL & RECREATIONAL USE,,,,943591,147116,40.570382,-74.14635,POINT (-74.14635 40.570382)
4,295,45,4002950045,4002950045,402,3027,REVIEW AVENUE,3027 REVIEW AVENUE,FLEET SERVICES REPAIR SHOP,FINAN,120,AGENCY OFFICE,P,1,1,OFFICE USE,L,,,1001238,207980,40.737518,-73.938699,POINT (-73.938699 40.737518)
2,4628,53,2046280053,2046280053,212,3431,WHITE PLAINS ROAD,3431 WHITE PLAINS ROAD,ENG 62  LAD 32,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,1020925,258548,40.876253,-73.867383,POINT (-73.867383 40.876253)
5,3794,53,5037940053,5037940053,502,,PATTERSON AVENUE,PATTERSON AVENUE,MID-ISLAND BLUEBELT PHASE 3,DEP,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,959708,148649,40.574649,-74.088343,POINT (-74.088343 40.574649)
3,7226,62,3072260062,3072260062,313,2615,WEST   13 STREET,2615 WEST   13 STREET,,NYPD,120,AGENCY OFFICE,P,1,1,OFFICE USE,L,,,989405,152082,40.584105,-73.981441,POINT (-73.981441 40.584105)
2,2925,72,2029250072,2029250072,203,,,,FULTON PARK PLAYGROUND,PARKS,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,1011000,242829,40.833145,-73.903334,POINT (-73.903334 40.833145)
4,15705,135,4157050135,4157050135,414,,BEACH   22 STREET,BEACH   22 STREET,,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1052452,159566,40.604386,-73.754385,POINT (-73.754385 40.604386)
1,1633,1,1016330001,1016330001,111,107,EAST  105 STREET,107 EAST  105 STREET,DEWITT CLINTON HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,998726,227937,40.792299,-73.947721,POINT (-73.947721 40.792299)
3,1455,40,3014550040,3014550040,316,2150,BERGEN STREET,2150 BERGEN STREET,,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,1009446,184701,40.673603,-73.909168,POINT (-73.909168 40.673603)
5,4616,37,5046160037,5046160037,503,,SCHLEY AVENUE,SCHLEY AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,942402,141677,40.555448,-74.150596,POINT (-74.150596 40.555448)
5,4792,76,5047920076,5047920076,503,80,FOX BEACH AVENUE,80 FOX BEACH AVENUE,STATEN ISLAND LEVEE PROJECT PHASE 2,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,952605,140276,40.551645,-74.113873,POINT (-74.113873 40.551645)
3,2177,29,3021770029,3021770029,301,157,WILSON AVENUE,157 WILSON AVENUE,PS 16 PLAYGROUND (JOP),PARKS,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,994989,196702,40.706572,-73.961266,POINT (-73.961266 40.706572)
4,1833,240,4018330240,4018330240,407,,271 STREET,271 STREET,VAN WYCK PARK STRIP,PARKS,420,MALL/TRIANGLE/HIGHWAY STRIP/PARK STRIP,C,1,3,CULTURAL & RECREATIONAL USE,,,,1029332,217057,40.762333,-73.837262,POINT (-73.837262 40.762333)
3,4573,1,3045730001,3045730001,305,,COZINE AVENUE,COZINE AVENUE,SPRING CREEK PARK,SANIT,1000,OUTDOOR MAINTENANCE/STORAGE FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1023433,180902,40.663125,-73.858766,POINT (-73.858766 40.663125)
5,1155,133,5011550133,5011550133,501,,WINANT STREET,WINANT STREET,,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,943349,170412,40.634324,-74.147362,POINT (-74.147362 40.634324)
3,199,126,3001990126,3001990126,101,4,EAST RIVER,4 EAST RIVER,FURMAN ST TUNNEL/PIER 4,MTA,860,TRANSIT FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,983843,193229,40.697046,-74.001468,POINT (-74.001468 40.697046)
1,259,44,1002590044,1002590044,103,200,MONROE STREET,200 MONROE STREET,UNIVERSITY NEIGHBORHOOD,EDUC,213,ACADEMIC HIGH SCHOOL,C,1,2,EDUCATIONAL USE,,,,988653,198769,40.712251,-73.984118,POINT (-73.984118 40.712251)
3,4818,33,3048180033,3048180033,309,742,FENIMORE STREET,742 FENIMORE STREET,FENIMORE LEFERTS AVENUE,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1001508,179467,40.659256,-73.937798,POINT (-73.937798 40.659256)
2,2315,17,2023150017,2023150017,201,307,ALEXANDER AVENUE,307 ALEXANDER AVENUE,MOTT HAVEN BRANCH EXTENSION,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,1005193,235012,40.811705,-73.924343,POINT (-73.924343 40.811705)
5,7765,39,5077650039,5077650039,503,,DAMON STREET,DAMON STREET,LONG POND PARK ADDITION R-27,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,920653,126978,40.514973,-74.228725,POINT (-74.228725 40.514973)
